"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year"
"44","39","Foch Lovejoy","Sr","P","-","R/R",1,NA,0,1,NA,1,NA,NA,1,1,NA,5,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"45","Succ-Opp against Leadoff Batter","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"46","Hits-AB with runners ob","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.2,NA,0,0,0,1,0,NA,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"47","Hits-AB w2outs","Foch Lovejoy","Sr","P","-","R/R",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"48","Bases Empty","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,1,0,0,0,1,NA,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"49","H-AB scorepos","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.2,NA,0,0,0,0,0,NA,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"50","H-AB scorepos2","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"51","H-AB runners2","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"52","Hits-AB vs rhb","Foch Lovejoy","Sr","P","-","R/R",NA,NA,0,1,NA,1,0,0,1,1,NA,5,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"53","12","Jacob Nolan","Sr","P","-","R/R",1,NA,81,0.1,NA,3,5,3,1,NA,NA,6,"5",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"24",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"54","Succ-Opp against Leadoff Batter","Jacob Nolan","Sr","P","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"55","Hits-AB with runners ob","Jacob Nolan","Sr","P","-","R/R",NA,NA,0,0.1,NA,2,0,0,1,0,NA,5,"4",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"56","Bases Empty","Jacob Nolan","Sr","P","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"57","H-AB scorepos","Jacob Nolan","Sr","P","-","R/R",NA,NA,0,0.1,NA,2,0,0,1,0,NA,4,"3",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"58","Hits-AB vs rhb","Jacob Nolan","Sr","P","-","R/R",NA,NA,0,0.1,NA,3,0,0,1,0,NA,6,"5",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"59","50","Chris Jenkins","Sr","P","-","R/R",21,NA,0.62,43.1,NA,23,8,3,14,36,NA,171,"142",4,NA,NA,NA,2,11,NA,NA,NA,1,3,"631",38,42,2,1,3,11,NA,NA,NA,597157,2025
"60","Succ-Opp against Leadoff Batter","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,10,NA,7,0,0,3,9,NA,42,"38",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",11,8,NA,NA,NA,3,NA,NA,NA,597157,2025
"61","Hits-AB with runners ob","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,21.2,NA,6,0,0,8,15,NA,81,"64",3,NA,NA,NA,2,8,NA,NA,NA,NA,NA,"",18,20,NA,NA,NA,4,NA,NA,NA,597157,2025
"62","Hits-AB vs lhb","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,6,NA,7,0,0,5,3,NA,28,"22",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,9,NA,NA,NA,1,NA,NA,NA,597157,2025
"63","Hits-AB w2outs","Chris Jenkins","Sr","P","-","R/R",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"64","Bases Empty","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,21.2,NA,17,0,0,6,21,NA,93,"84",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"",19,22,NA,NA,NA,7,NA,NA,NA,597157,2025
"65","H-AB scorepos","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,12.1,NA,2,0,0,5,11,NA,45,"36",1,NA,NA,NA,2,4,NA,NA,NA,NA,NA,"",8,11,NA,NA,NA,3,NA,NA,NA,597157,2025
"66","H-AB scorepos2","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,5.2,NA,2,0,0,3,8,NA,25,"20",1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,"",3,4,NA,NA,NA,3,NA,NA,NA,597157,2025
"67","H-AB runners2","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,8.2,NA,2,0,0,4,10,NA,38,"30",1,NA,NA,NA,1,4,NA,NA,NA,NA,NA,"",5,8,NA,NA,NA,3,NA,NA,NA,597157,2025
"68","H-AB bases loaded","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,1.1,NA,0,0,0,0,2,NA,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"69","Hits-AB vs rhb","Chris Jenkins","Sr","P","-","R/R",NA,NA,0,36,NA,16,0,0,9,32,NA,142,"122",3,NA,NA,NA,1,10,NA,NA,NA,NA,NA,"",34,30,NA,NA,NA,10,NA,NA,NA,597157,2025
"70","22","Brady Stuart","Jr","P","-","R/R",11,4,2.8,35.1,NA,32,12,11,17,38,NA,152,"129",3,NA,NA,1,2,2,NA,NA,NA,1,3,"599",34,27,3,NA,3,10,NA,NA,NA,597157,2025
"71","Succ-Opp against Leadoff Batter","Brady Stuart","Jr","P","-","R/R",NA,NA,0,6.2,NA,7,0,0,4,9,NA,34,"30",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",8,5,NA,NA,NA,1,NA,NA,NA,597157,2025
"72","Hits-AB with runners ob","Brady Stuart","Jr","P","-","R/R",NA,NA,0,21.2,NA,16,0,0,7,22,NA,83,"72",1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,"",19,13,NA,NA,NA,6,NA,NA,NA,597157,2025
"73","Hits-AB vs lhb","Brady Stuart","Jr","P","-","R/R",NA,NA,0,6,NA,7,0,0,2,8,NA,30,"26",NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,"",2,8,NA,NA,NA,1,NA,NA,NA,597157,2025
