"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"141","H-AB bases loaded","Max Jarvie","Fr","UT","-","R/R",0,0,0,0.2,0,2,0,0,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0.666666666666667,597157,2025,NA,NA,0.333333333333333,0,0.666666666666667,0,2
"142","Hits-AB vs rhb","Max Jarvie","Fr","UT","-","R/R",0,0,0,11.2,0,11,0,0,5,15,0,54,48,4,0,0,0,1,1,0,0,0,0,0,NA,10,8,0,0,0,3,0,48,0.229166666666667,597157,2025,0.444444444444444,0.555555555555556,0.277777777777778,0.0925925925925926,0.314814814814815,7,0.627314814814815
"143","1","Pat Hart","Sr","P","-","R/R",8,0,5.4,10,0,12,6,6,6,2,0,46,38,2,1,0,2,0,2,0,0,0,0,0,108,17,7,0,0,0,2,0,38,0.31578947368421,597157,2025,0.291666666666667,0.708333333333333,0.0434782608695652,0.130434782608696,0.434782608695652,7,1.0137299771167
"144","Succ-Opp against Leadoff Batter","Pat Hart","Sr","P","-","R/R",0,0,0,1.1,0,3,0,0,2,1,0,9,7,0,1,0,1,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,0,7,0.428571428571429,597157,2025,0.333333333333333,0.666666666666667,0.111111111111111,0.222222222222222,0.555555555555556,1,1.6984126984127
"145","Hits-AB with runners ob","Pat Hart","Sr","P","-","R/R",0,0,0,6.1,0,5,0,0,2,0,0,25,22,1,0,0,0,0,1,0,0,0,0,0,NA,11,4,0,0,0,0,0,22,0.227272727272727,597157,2025,0.266666666666667,0.733333333333333,0,0.08,0.32,4,0.592727272727273
"146","Hits-AB vs lhb","Pat Hart","Sr","P","-","R/R",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,597157,2025,NA,NA,0,0,1,0,5
"147","Hits-AB w2outs","Pat Hart","Sr","P","-","R/R",0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,4,Inf
"148","Bases Empty","Pat Hart","Sr","P","-","R/R",0,0,0,3.2,0,7,0,0,4,2,0,23,18,1,1,0,2,0,1,0,0,0,0,0,NA,6,3,0,0,0,2,0,18,0.388888888888889,597157,2025,0.333333333333333,0.666666666666667,0.0869565217391304,0.173913043478261,0.521739130434783,3,1.41062801932367
"149","H-AB scorepos","Pat Hart","Sr","P","-","R/R",0,0,0,3,0,3,0,0,2,0,0,13,11,1,0,0,0,0,0,0,0,0,0,0,NA,7,1,0,0,0,0,0,11,0.272727272727273,597157,2025,0.125,0.875,0,0.153846153846154,0.384615384615385,2,0.748251748251748
"150","H-AB scorepos2","Pat Hart","Sr","P","-","R/R",0,0,0,1,0,2,0,0,2,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,5,0.4,597157,2025,0,1,0,0.285714285714286,0.571428571428571,1,1.17142857142857
"151","H-AB runners2","Pat Hart","Sr","P","-","R/R",0,0,0,2.1,0,2,0,0,2,0,0,11,9,1,0,0,0,0,0,0,0,0,0,0,NA,6,1,0,0,0,0,0,9,0.222222222222222,597157,2025,0.142857142857143,0.857142857142857,0,0.181818181818182,0.363636363636364,1,0.696969696969697
"152","H-AB bases loaded","Pat Hart","Sr","P","-","R/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,597157,2025,0,1,0,0,0,0,0
"153","Hits-AB vs rhb","Pat Hart","Sr","P","-","R/R",0,0,0,6.1,0,7,0,0,4,2,0,29,24,1,1,0,1,0,1,0,0,0,0,0,NA,10,5,0,0,0,2,0,24,0.291666666666667,597157,2025,0.333333333333333,0.666666666666667,0.0689655172413793,0.137931034482759,0.413793103448276,4,0.955459770114943
"154","10","John Connolly","Sr","P","-","R/R",12,10,3.14,51.2,0,46,18,18,27,46,0,227,193,9,1,3,3,3,5,0,0,0,1,1,843,50,50,6,0,0,14,0,193,0.238341968911917,597157,2025,0.5,0.5,0.202643171806167,0.118942731277533,0.345132743362832,33,0.68710165527993
"155","Succ-Opp against Leadoff Batter","John Connolly","Sr","P","-","R/R",0,0,0,11.1,0,11,0,0,6,11,0,52,45,2,0,0,1,0,1,0,0,0,0,0,NA,14,9,0,0,0,4,0,45,0.244444444444444,597157,2025,0.391304347826087,0.608695652173913,0.211538461538462,0.115384615384615,0.346153846153846,8,0.701709401709402
