"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"1647","H-AB scorepos2","Totals","-","-","-","-",0,0,0,53,0,47,0,0,28,54,0,255,214,13,1,1,3,11,13,0,0,0,0,0,NA,57,43,0,0,0,20,0,214,0.219626168224299,596977,2025,0.43,0.57,0.211764705882353,0.109803921568627,0.345098039215686,30,0.676873740150266
"1648","H-AB runners2","Totals","-","-","-","-",0,0,0,77,0,68,0,0,37,73,0,365,309,14,3,1,7,20,18,0,0,0,0,0,NA,74,69,0,0,0,29,0,310,0.219354838709677,596977,2025,0.482517482517482,0.517482517482518,0.2,0.101369863013699,0.336986301369863,44,0.68859920459567
"1649","H-AB bases loaded","Totals","-","-","-","-",0,0,0,18,0,15,0,0,7,15,0,77,65,3,0,1,1,7,3,0,0,0,0,0,NA,17,16,0,0,0,5,0,67,0.223880597014925,596977,2025,0.484848484848485,0.515151515151515,0.194805194805195,0.0909090909090909,0.324675324675325,11,0.63810816049622
"1650","Hits-AB vs rhb","Totals","-","-","-","-",0,0,0,291.1,0,313,0,0,140,267,0,0,NA,58,10,3,22,38,63,0,0,0,0,0,NA,277,293,0,0,0,101,0,-203,-1.54187192118227,596977,2025,0.514035087719298,0.485964912280702,Inf,Inf,Inf,223,Inf
"1651","-","Opponent Totals","-","-","-","-",0,0,6.93,358.5,2,479,312,277,156,278,1,0,NA,92,10,6,40,49,58,4,0,0,13,30,NA,319,399,0,0,8,81,13,-261,-1.83524904214559,596977,2025,0.555710306406685,0.444289693593315,Inf,Inf,-40.7647058823529,337,-43.4888438133874
"1652","6","Salvatore Danna","Sr","P","5-9","R/R",10,4,5.17,15.2,0,21,14,9,14,13,0,82,61,3,1,0,0,5,3,0,2,0,0,4,249,18,12,0,1,0,4,0,61,0.344262295081967,596984,2025,0.4,0.6,0.158536585365854,0.170731707317073,0.463414634146341,17,0.889644142343063
"1653","Succ-Opp against Leadoff Batter","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,2.1,0,7,0,0,3,3,0,17,14,2,0,0,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,2,0,14,0.5,596984,2025,0.5,0.5,0.176470588235294,0.176470588235294,0.588235294117647,5,1.23109243697479
"1654","Hits-AB with runners ob","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,11,0,9,0,0,9,8,0,52,41,1,1,0,0,5,2,0,0,0,0,0,NA,13,8,0,0,0,1,0,41,0.219512195121951,596984,2025,0.380952380952381,0.619047619047619,0.153846153846154,0.173076923076923,0.384615384615385,7,0.677298311444653
"1655","Hits-AB vs lhb","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,3.2,0,4,0,0,5,0,0,21,15,0,0,0,0,1,1,0,0,0,0,0,NA,6,3,0,0,0,0,0,15,0.266666666666667,596984,2025,0.333333333333333,0.666666666666667,0,0.238095238095238,0.476190476190476,4,0.742857142857143
"1656","Hits-AB w2outs","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,4,Inf
"1657","Bases Empty","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,4.2,0,12,0,0,5,5,0,32,26,2,0,0,0,0,1,0,0,0,0,0,NA,5,4,0,0,0,3,0,26,0.461538461538462,596984,2025,0.444444444444444,0.555555555555556,0.15625,0.15625,0.5625,10,1.10096153846154
"1658","H-AB scorepos","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,8.1,0,6,0,0,8,4,0,40,31,1,1,0,0,2,1,0,0,0,0,0,NA,10,8,0,0,0,0,0,31,0.193548387096774,596984,2025,0.444444444444444,0.555555555555556,0.1,0.2,0.375,4,0.665322580645161
"1659","H-AB scorepos2","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,3,0,1,0,0,2,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,NA,6,1,0,0,0,0,0,10,0.1,596984,2025,0.142857142857143,0.857142857142857,0,0.166666666666667,0.25,1,0.35
"1660","H-AB runners2","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,4.1,0,1,0,0,3,3,0,17,14,0,0,0,0,2,0,0,0,0,0,0,NA,7,1,0,0,0,1,0,14,0.0714285714285714,596984,2025,0.125,0.875,0.176470588235294,0.176470588235294,0.235294117647059,1,0.30672268907563
"1661","H-AB bases loaded","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,1.2,0,1,0,0,1,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,5,0.2,596984,2025,0.333333333333333,0.666666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0,0.733333333333333
"1662","Hits-AB vs rhb","Salvatore Danna","Sr","P","5-9","R/R",0,0,0,11.2,0,17,0,0,9,12,0,62,51,3,1,0,0,4,2,0,0,0,0,0,NA,12,9,0,0,0,4,0,51,0.333333333333333,596984,2025,0.428571428571429,0.571428571428571,0.193548387096774,0.145161290322581,0.451612903225806,13,0.882985452245414
"1663","18","Patrick Doyle","Jr","P","5-10","R/R",16,0,6.2,20.1,0,35,15,14,5,16,0,100,89,7,1,0,2,4,0,0,1,1,1,5,274,17,25,5,0,0,8,0,89,0.393258426966292,596984,2025,0.595238095238095,0.404761904761905,0.16,0.05,0.404040404040404,25,0.965838156849393
"1664","Succ-Opp against Leadoff Batter","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,2.2,0,7,0,0,0,3,0,17,17,3,0,0,0,1,0,0,0,0,0,0,NA,3,3,0,0,0,1,0,17,0.411764705882353,596984,2025,0.5,0.5,0.176470588235294,0,0.411764705882353,4,1
"1665","Hits-AB with runners ob","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,14,0,23,0,0,4,9,0,67,62,3,1,0,2,3,0,0,0,0,0,0,NA,11,18,0,0,0,6,0,63,0.365079365079365,596984,2025,0.620689655172414,0.379310344827586,0.134328358208955,0.0597014925373134,0.402985074626866,17,0.942667614309405
"1666","Hits-AB vs lhb","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,4.1,0,6,0,0,1,6,0,20,19,1,0,0,1,0,0,0,0,0,0,0,NA,3,2,0,0,0,3,0,19,0.31578947368421,596984,2025,0.4,0.6,0.3,0.05,0.35,4,0.876315789473684
"1667","Hits-AB w2outs","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,0,0,7,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,7,Inf
"1668","Bases Empty","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,6.1,0,12,0,0,1,7,0,34,33,4,0,0,0,1,0,0,0,0,0,0,NA,6,7,0,0,0,2,0,33,0.363636363636364,596984,2025,0.538461538461538,0.461538461538462,0.205882352941176,0.0294117647058824,0.382352941176471,8,0.867201426024955
"1669","H-AB scorepos","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,10,0,18,0,0,2,9,0,51,48,3,1,0,1,1,0,0,0,0,0,0,NA,6,14,0,0,0,6,0,49,0.36734693877551,596984,2025,0.7,0.3,0.176470588235294,0.0392156862745098,0.392156862745098,13,0.922769107643057
"1670","H-AB scorepos2","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,4,0,5,0,0,1,5,0,18,17,2,0,0,0,0,0,0,0,0,0,0,NA,4,3,0,0,0,4,0,17,0.294117647058824,596984,2025,0.428571428571429,0.571428571428571,0.277777777777778,0.0555555555555556,0.333333333333333,3,0.745098039215686
"1671","H-AB runners2","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,4.2,0,6,0,0,1,5,0,21,20,2,0,0,0,0,0,0,0,0,0,0,NA,5,4,0,0,0,4,0,20,0.3,596984,2025,0.444444444444444,0.555555555555556,0.238095238095238,0.0476190476190476,0.333333333333333,4,0.733333333333333
"1672","H-AB bases loaded","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,3.2,0,3,0,0,0,4,0,14,14,0,0,0,0,0,0,0,0,0,0,0,NA,2,5,0,0,0,1,0,14,0.214285714285714,596984,2025,0.714285714285714,0.285714285714286,0.285714285714286,0,0.214285714285714,3,0.428571428571429
"1673","Hits-AB vs rhb","Patrick Doyle","Jr","P","5-10","R/R",0,0,0,16,0,29,0,0,4,10,0,81,76,6,1,0,1,4,0,0,0,0,0,0,NA,14,23,0,0,0,5,0,77,0.376623376623377,596984,2025,0.621621621621622,0.378378378378378,0.123456790123457,0.0493827160493827,0.407407407407407,21,0.926887926887927
"1674","39","Richard Pignone","Sr","P","5-9","L/L",6,1,9,7,0,11,7,7,2,1,0,34,30,4,0,0,0,0,2,0,0,0,0,0,102,5,12,0,2,0,1,0,30,0.366666666666667,596984,2025,0.705882352941177,0.294117647058824,0.0294117647058824,0.0588235294117647,0.441176470588235,7,0.941176470588235
"1675","Succ-Opp against Leadoff Batter","Richard Pignone","Sr","P","5-9","L/L",0,0,0,2.1,0,0,0,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,NA,2,4,0,0,0,1,0,8,0,596984,2025,0.666666666666667,0.333333333333333,0.125,0,0,0,0
"1676","Hits-AB with runners ob","Richard Pignone","Sr","P","5-9","L/L",0,0,0,3,0,7,0,0,0,0,0,15,14,3,0,0,0,0,1,0,0,0,0,0,NA,1,5,0,0,0,0,0,14,0.5,596984,2025,0.833333333333333,0.166666666666667,0,0,0.533333333333333,4,1.24761904761905
"1677","Hits-AB vs lhb","Richard Pignone","Sr","P","5-9","L/L",0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,1,0,3,0,596984,2025,0.5,0.5,0.333333333333333,0,0,0,0
"1678","Hits-AB w2outs","Richard Pignone","Sr","P","5-9","L/L",0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,1,Inf
"1679","Bases Empty","Richard Pignone","Sr","P","5-9","L/L",0,0,0,4,0,4,0,0,2,1,0,20,17,1,0,0,0,0,1,0,0,0,0,0,NA,4,7,0,0,0,1,0,17,0.235294117647059,596984,2025,0.636363636363636,0.363636363636364,0.05,0.1,0.35,3,0.644117647058823
"1680","H-AB scorepos","Richard Pignone","Sr","P","5-9","L/L",0,0,0,1.2,0,5,0,0,0,0,0,10,9,2,0,0,0,0,1,0,0,0,0,0,NA,0,3,0,0,0,0,0,9,0.555555555555556,596984,2025,1,0,0,0,0.6,3,1.37777777777778
"1681","H-AB scorepos2","Richard Pignone","Sr","P","5-9","L/L",0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,NA,0,2,0,0,0,0,0,3,0,596984,2025,1,0,0,0,0.25,0,0.25
"1682","H-AB runners2","Richard Pignone","Sr","P","5-9","L/L",0,0,0,1.1,0,1,0,0,0,0,0,6,5,1,0,0,0,0,1,0,0,0,0,0,NA,0,3,0,0,0,0,0,5,0.2,596984,2025,1,0,0,0,0.333333333333333,0,0.733333333333333
"1683","Hits-AB vs rhb","Richard Pignone","Sr","P","5-9","L/L",0,0,0,6,0,11,0,0,2,0,0,32,28,4,0,0,0,0,2,0,0,0,0,0,NA,4,11,0,0,0,0,0,28,0.392857142857143,596984,2025,0.733333333333333,0.266666666666667,0,0.0625,0.46875,7,1.00446428571429
"1684","10","Sean Ryan","Sr","P","5-10","R/R",11,2,9.37,16.1,0,17,18,17,15,7,0,86,64,4,0,1,1,1,7,0,1,0,0,0,322,16,21,1,1,0,3,1,64,0.265625,596984,2025,0.567567567567568,0.432432432432432,0.0813953488372093,0.174418604651163,0.453488372093023,12,0.828488372093023
"1685","Succ-Opp against Leadoff Batter","Sean Ryan","Sr","P","5-10","R/R",0,0,0,2.2,0,3,0,0,5,0,0,17,11,0,0,0,1,0,1,0,0,0,0,0,NA,3,5,0,0,0,0,0,11,0.272727272727273,596984,2025,0.625,0.375,0,0.294117647058824,0.529411764705882,2,1.07486631016043
"1686","Hits-AB with runners ob","Sean Ryan","Sr","P","5-10","R/R",0,0,0,10.2,0,13,0,0,8,6,0,56,44,4,0,1,0,1,4,0,0,0,0,0,NA,9,12,0,0,0,2,0,44,0.295454545454545,596984,2025,0.571428571428571,0.428571428571429,0.107142857142857,0.142857142857143,0.446428571428571,9,0.832792207792208
"1687","Hits-AB vs lhb","Sean Ryan","Sr","P","5-10","R/R",0,0,0,1.2,0,5,0,0,4,0,0,15,10,1,0,0,1,0,1,0,0,0,0,0,NA,3,2,0,0,0,0,0,10,0.5,596984,2025,0.4,0.6,0,0.266666666666667,0.666666666666667,3,1.56666666666667
"1688","Hits-AB w2outs","Sean Ryan","Sr","P","5-10","R/R",0,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,4,Inf
"1689","Bases Empty","Sean Ryan","Sr","P","5-10","R/R",0,0,0,5.2,0,4,0,0,7,1,0,31,21,0,0,0,1,0,3,0,0,0,0,0,NA,7,9,0,0,0,1,0,21,0.19047619047619,596984,2025,0.5625,0.4375,0.032258064516129,0.225806451612903,0.451612903225806,3,0.78494623655914
"1690","H-AB scorepos","Sean Ryan","Sr","P","5-10","R/R",0,0,0,8.1,0,7,0,0,6,4,0,40,30,4,0,1,0,1,4,0,0,0,0,0,NA,8,8,0,0,0,1,0,30,0.233333333333333,596984,2025,0.5,0.5,0.1,0.15,0.425,3,0.791666666666667
"1691","H-AB scorepos2","Sean Ryan","Sr","P","5-10","R/R",0,0,0,4.1,0,2,0,0,1,2,0,19,16,1,0,1,0,0,2,0,0,0,0,0,NA,5,5,0,0,0,0,0,16,0.125,596984,2025,0.5,0.5,0.105263157894737,0.0526315789473684,0.263157894736842,1,0.450657894736842
"1692","H-AB runners2","Sean Ryan","Sr","P","5-10","R/R",0,0,0,5,0,3,0,0,1,3,0,22,19,1,0,1,0,0,2,0,0,0,0,0,NA,5,6,0,0,0,1,0,19,0.157894736842105,596984,2025,0.545454545454545,0.454545454545455,0.136363636363636,0.0454545454545455,0.272727272727273,2,0.483253588516746
"1693","H-AB bases loaded","Sean Ryan","Sr","P","5-10","R/R",0,0,0,0.2,0,1,0,0,1,0,0,5,3,1,0,1,0,1,1,0,0,0,0,0,NA,1,1,0,0,0,0,0,3,0.333333333333333,596984,2025,0.5,0.5,0,0.2,0.6,0,1.26666666666667
"1694","Hits-AB vs rhb","Sean Ryan","Sr","P","5-10","R/R",0,0,0,13.1,0,12,0,0,11,7,0,68,51,3,0,1,0,1,6,0,0,0,0,0,NA,11,17,0,0,0,3,0,51,0.235294117647059,596984,2025,0.607142857142857,0.392857142857143,0.102941176470588,0.161764705882353,0.426470588235294,9,0.720588235294118
"1695","14","John Steed","Sr","P","5-11","R/L",16,9,3.57,75.2,2,76,34,30,14,59,0,313,284,13,1,0,3,2,7,1,0,0,2,5,925,59,95,9,2,1,32,21,284,0.267605633802817,596984,2025,0.616883116883117,0.383116883116883,0.188498402555911,0.0447284345047923,0.312903225806452,59,0.66501590186279
"1696","Succ-Opp against Leadoff Batter","John Steed","Sr","P","5-11","R/L",0,0,0,15.2,0,27,0,0,1,12,0,76,74,7,1,0,1,0,1,0,0,0,0,0,NA,16,19,0,0,0,11,0,74,0.364864864864865,596984,2025,0.542857142857143,0.457142857142857,0.157894736842105,0.0131578947368421,0.381578947368421,18,0.908605974395448
"1697","Hits-AB with runners ob","John Steed","Sr","P","5-11","R/L",0,0,0,36.2,0,29,0,0,10,26,0,152,133,2,0,0,0,2,6,1,0,0,0,0,NA,28,41,0,0,0,12,0,135,0.214814814814815,596984,2025,0.594202898550725,0.405797101449275,0.171052631578947,0.0657894736842105,0.298013245033113,27,0.527642874662742
"1698","Hits-AB vs lhb","John Steed","Sr","P","5-11","R/L",0,0,0,12,0,21,0,0,2,5,0,61,56,6,0,0,1,0,2,0,0,0,0,0,NA,15,13,0,0,0,2,0,57,0.368421052631579,596984,2025,0.464285714285714,0.535714285714286,0.0819672131147541,0.0327868852459016,0.40983606557377,14,0.936151855047455
"1699","Hits-AB w2outs","John Steed","Sr","P","5-11","R/L",0,0,0,0,0,20,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,20,Inf
"1700","Bases Empty","John Steed","Sr","P","5-11","R/L",0,0,0,39,0,47,0,0,4,33,0,169,164,11,1,0,3,0,1,0,0,0,0,0,NA,30,54,0,0,0,20,0,164,0.286585365853659,596984,2025,0.642857142857143,0.357142857142857,0.195266272189349,0.0236686390532544,0.307692307692308,32,0.728424015009381
"1701","H-AB scorepos","John Steed","Sr","P","5-11","R/L",0,0,0,21.1,0,18,0,0,8,14,0,92,78,2,0,0,0,1,4,1,0,0,0,0,NA,16,27,0,0,0,7,0,79,0.227848101265823,596984,2025,0.627906976744186,0.372093023255814,0.152173913043478,0.0869565217391304,0.32967032967033,16,0.582834886632355
"1702","H-AB scorepos2","John Steed","Sr","P","5-11","R/L",0,0,0,7.2,0,9,0,0,5,6,0,38,32,1,0,0,0,1,1,0,0,0,0,0,NA,7,9,0,0,0,3,0,32,0.28125,596984,2025,0.5625,0.4375,0.157894736842105,0.131578947368421,0.394736842105263,8,0.707236842105263
"1703","H-AB runners2","John Steed","Sr","P","5-11","R/L",0,0,0,13,0,12,0,0,6,10,0,59,51,1,0,0,0,1,2,0,0,0,0,0,NA,13,13,0,0,0,4,0,51,0.235294117647059,596984,2025,0.5,0.5,0.169491525423729,0.101694915254237,0.338983050847458,11,0.593885011631771
"1704","H-AB bases loaded","John Steed","Sr","P","5-11","R/L",0,0,0,2.2,0,2,0,0,0,0,0,12,10,0,0,0,0,0,2,0,0,0,0,0,NA,2,6,0,0,0,0,0,10,0.2,596984,2025,0.75,0.25,0,0,0.333333333333333,2,0.533333333333333
"1705","Hits-AB vs rhb","John Steed","Sr","P","5-11","R/L",0,0,0,63.1,0,55,0,0,12,53,0,259,240,7,1,0,2,2,5,1,0,0,0,0,NA,43,82,0,0,0,29,0,241,0.228215767634855,596984,2025,0.656,0.344,0.204633204633205,0.0463320463320463,0.27906976744186,45,0.56952619897713
"1706","21","Andrew Steinhubel","Sr","P","-","R/L",10,0,16.2,6.2,0,11,14,12,8,7,0,39,29,4,0,0,3,1,0,0,0,0,1,1,157,3,10,0,0,0,3,0,29,0.379310344827586,596984,2025,0.769230769230769,0.230769230769231,0.17948717948718,0.205128205128205,0.5,4,1.32758620689655
"1707","Succ-Opp against Leadoff Batter","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,1.1,0,1,0,0,4,2,0,9,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,1,0,5,0.2,596984,2025,1,0,0.222222222222222,0.444444444444444,0.555555555555556,1,0.755555555555556
"1708","Hits-AB with runners ob","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,2,0,8,0,0,3,3,0,17,13,2,0,0,3,1,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,14,0.571428571428571,596984,2025,0.666666666666667,0.333333333333333,0.176470588235294,0.176470588235294,0.647058823529412,3,2.00420168067227
"1709","Hits-AB vs lhb","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,0.2,0,3,0,0,1,2,0,6,5,1,0,0,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,5,0.6,596984,2025,NA,NA,0.333333333333333,0.166666666666667,0.666666666666667,0,2.66666666666667
"1710","Hits-AB w2outs","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,2,Inf
"1711","Bases Empty","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,4.2,0,3,0,0,5,4,0,22,17,2,0,0,0,0,0,0,0,0,0,0,NA,2,8,0,0,0,2,0,17,0.176470588235294,596984,2025,0.8,0.2,0.181818181818182,0.227272727272727,0.363636363636364,1,0.657754010695187
"1712","H-AB scorepos","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,1.2,0,6,0,0,1,2,0,12,10,2,0,0,2,1,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,11,0.545454545454545,596984,2025,0.666666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.583333333333333,2,1.85606060606061
"1713","H-AB scorepos2","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,0.2,0,1,0,0,1,1,0,4,3,1,0,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,3,0.333333333333333,596984,2025,1,0,0.25,0.25,0.5,0,1.16666666666667
"1714","H-AB runners2","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,0.2,0,1,0,0,1,1,0,4,3,1,0,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,3,0.333333333333333,596984,2025,1,0,0.25,0.25,0.5,0,1.16666666666667
"1715","Hits-AB vs rhb","Andrew Steinhubel","Sr","P","-","R/L",0,0,0,6,0,8,0,0,6,5,0,32,25,3,0,0,1,1,0,0,0,0,0,0,NA,3,10,0,0,0,3,0,26,0.307692307692308,596984,2025,0.769230769230769,0.230769230769231,0.15625,0.1875,0.4375,4,0.975961538461538
"1716","47","Casey Sexton","Jr","P","5-8","R/L",3,0,10.8,1.2,0,4,2,2,0,1,0,9,8,1,0,0,0,0,0,0,0,0,0,1,38,2,2,0,0,0,0,0,8,0.5,596984,2025,0.5,0.5,0.111111111111111,0,0.444444444444444,3,1.06944444444444
"1717","Succ-Opp against Leadoff Batter","Casey Sexton","Jr","P","5-8","R/L",0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,596984,2025,NA,NA,0,0,1,0,3
"1718","Hits-AB with runners ob","Casey Sexton","Jr","P","5-8","R/L",0,0,0,1.2,0,3,0,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,8,0.375,596984,2025,0.5,0.5,0.125,0,0.375,3,0.75
"1719","Hits-AB vs lhb","Casey Sexton","Jr","P","5-8","R/L",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,596984,2025,NA,NA,0,0,1,1,2
"1720","Hits-AB w2outs","Casey Sexton","Jr","P","5-8","R/L",0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,2,Inf
"1721","Bases Empty","Casey Sexton","Jr","P","5-8","R/L",0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,596984,2025,NA,NA,0,0,1,0,3
"1722","H-AB scorepos","Casey Sexton","Jr","P","5-8","R/L",0,0,0,1,0,3,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,6,0.5,596984,2025,0.5,0.5,0.166666666666667,0,0.5,3,1
"1723","H-AB scorepos2","Casey Sexton","Jr","P","5-8","R/L",0,0,0,0.1,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,3,0.666666666666667,596984,2025,0,1,0,0,0.666666666666667,2,1.33333333333333
"1724","H-AB runners2","Casey Sexton","Jr","P","5-8","R/L",0,0,0,1,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,5,0.4,596984,2025,0.333333333333333,0.666666666666667,0,0,0.4,2,0.8
"1725","Hits-AB vs rhb","Casey Sexton","Jr","P","5-8","R/L",0,0,0,1.2,0,3,0,0,0,1,0,8,8,1,0,0,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,8,0.375,596984,2025,0.5,0.5,0.125,0,0.375,2,0.875
"1726","30","Allen Hinckley","So","P","6-3","R/R",14,12,6.46,46,0,51,39,33,25,42,0,225,180,13,3,0,2,3,14,0,0,0,0,5,784,54,34,2,3,0,15,0,181,0.281767955801105,596984,2025,0.386363636363636,0.613636363636364,0.186666666666667,0.111111111111111,0.4,33,0.819889502762431
"1727","Succ-Opp against Leadoff Batter","Allen Hinckley","So","P","6-3","R/R",0,0,0,9,0,12,0,0,7,8,0,53,41,3,1,0,0,0,5,0,0,0,0,0,NA,14,5,0,0,0,2,0,41,0.292682926829268,596984,2025,0.263157894736842,0.736842105263158,0.150943396226415,0.132075471698113,0.452830188679245,8,0.867464335020709
"1728","Hits-AB with runners ob","Allen Hinckley","So","P","6-3","R/R",0,0,0,28,0,28,0,0,11,28,0,124,106,9,2,0,1,3,6,0,0,0,0,0,NA,27,20,0,0,0,11,0,107,0.261682242990654,596984,2025,0.425531914893617,0.574468085106383,0.225806451612903,0.0887096774193548,0.362903225806452,16,0.77411817907748
"1729","Hits-AB vs lhb","Allen Hinckley","So","P","6-3","R/R",0,0,0,11,0,13,0,0,9,8,0,59,46,3,1,0,1,0,3,0,0,0,0,0,NA,15,8,0,0,0,2,0,47,0.276595744680851,596984,2025,0.347826086956522,0.652173913043478,0.135593220338983,0.152542372881356,0.423728813559322,8,0.87053732419762
"1730","Hits-AB w2outs","Allen Hinckley","So","P","6-3","R/R",0,0,0,0,0,15,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,596984,2025,NA,NA,NA,NA,Inf,15,Inf
"1731","Bases Empty","Allen Hinckley","So","P","6-3","R/R",0,0,0,18,0,23,0,0,14,14,0,102,80,4,1,0,1,0,8,0,0,0,0,0,NA,26,14,0,0,0,4,0,80,0.2875,596984,2025,0.35,0.65,0.137254901960784,0.137254901960784,0.441176470588235,17,0.841176470588235
"1732","H-AB scorepos","Allen Hinckley","So","P","6-3","R/R",0,0,0,16.1,0,14,0,0,7,16,0,74,62,2,0,0,1,1,4,0,0,0,0,0,NA,14,16,0,0,0,5,0,63,0.222222222222222,596984,2025,0.533333333333333,0.466666666666667,0.216216216216216,0.0945945945945946,0.337837837837838,11,0.639425139425139
"1733","H-AB scorepos2","Allen Hinckley","So","P","6-3","R/R",0,0,0,6.1,0,3,0,0,4,5,0,26,22,0,0,0,0,1,0,0,0,0,0,0,NA,5,8,0,0,0,2,0,22,0.136363636363636,596984,2025,0.615384615384615,0.384615384615385,0.192307692307692,0.153846153846154,0.269230769230769,3,0.405594405594406
"1734","H-AB runners2","Allen Hinckley","So","P","6-3","R/R",0,0,0,9.1,0,9,0,0,5,9,0,42,37,3,2,0,0,1,0,0,0,0,0,0,NA,9,9,0,0,0,5,0,37,0.243243243243243,596984,2025,0.5,0.5,0.214285714285714,0.119047619047619,0.333333333333333,4,0.765765765765766
"1735","H-AB bases loaded","Allen Hinckley","So","P","6-3","R/R",0,0,0,2.1,0,1,0,0,0,1,0,8,7,0,0,0,0,1,1,0,0,0,0,0,NA,2,3,0,0,0,0,0,7,0.142857142857143,596984,2025,0.6,0.4,0.125,0,0.25,1,0.392857142857143
